question,option1,option2,option3,option4,answerIndex,categoryId,subcategoryId,explanation
Which of the following is a valid class declaration?,class C{},class C[],class C(),class C<>,0,programming,C++Basics,class C{} is correct.
Which of the following is a valid object creation?,C obj;,C obj(),C obj[],C obj<>,0,programming,C++Basics,C obj; is correct.
Which of the following is a valid access specifier?,public,private,protected,All of these,3,programming,C++Basics,All are access specifiers.
Which of the following is a valid constructor?,C(){},C[],C(),C<>,0,programming,C++Basics,C(){} is correct.
Which of the following is a valid destructor?,~C(){},~C[],~C(),~C<>,0,programming,C++Basics,~C(){} is correct.
Which of the following is a valid pointer declaration?,int *p;,int p*,int *p,*,0,programming,C++Basics,int *p; is correct.
Which of the following is a valid reference declaration?,int &r;,int r&,int &r,int r&,0,programming,C++Basics,int &r; is correct.
Which of the following is a valid namespace declaration?,namespace ns{},namespace ns[],namespace ns(),namespace ns<>,0,programming,C++Basics,namespace ns{} is correct.
Which of the following is a valid using statement?,using namespace std;,using std namespace;,using std;,using namespace;,0,programming,C++Basics,using namespace std; is correct.
Which of the following is a valid endl statement?,cout << endl;,cout << end;,cout << endline;,cout << newline;,0,programming,C++Basics,cout << endl; is correct.
Which of the following is a valid include statement?,#include <iostream>,#include iostream,#include "iostream",#include iostream.h,0,programming,C++Basics,#include <iostream> is correct.
Which of the following is a valid main function?,int main(){},void main(){},main(){},int main[],0,programming,C++Basics,int main(){} is correct.
Which of the following is a valid return type for main?,int,void,char,float,0,programming,C++Basics,int is the correct return type for main.
Which of the following is a valid cout statement?,cout << "Hello";,cout << Hello;,cout << 'Hello';,cout << Hello,0,programming,C++Basics,cout << "Hello"; is correct.
Which of the following is a valid cin statement?,cin >> x;,cin << x;,cin = x;,cin x;,0,programming,C++Basics,cin >> x; is correct.
